	2.37E-02				2.64E+00	
98250	2.00E-30			992541	0.00E+00	
98249	2.00E-30			992540	0.00E+00	
97249	2.00E-30			992530	0.00E+00	
96248	2.00E-30			982540	0.00E+00	
96247	1.10E-30			982530	0.00E+00	
96246	2.71E-26			982520	0.00E+00	
96245	5.77E-23			982510	0.00E+00	
96244	1.46E-19			982500	0.00E+00	
96243	1.72E-21			982490	0.00E+00	
96242	2.05E-17			972500	0.00E+00	
95642	3.06E-17			972490	0.00E+00	
95244	3.67E-21			962500	0.00E+00	
95243	1.37E-16			962490	0.00E+00	
95242	1.35E-17			962480	0.00E+00	
95241	1.34E-14			962470	0.00E+00	
94244	1.87E-20			962460	1.18E-33	
94243	5.02E-17			962450	2.80E-29	
94242	2.40E-13			962440	1.04E-24	
94241	1.03E-10			962430	1.00E-26	
94240	1.23E-08			962420	1.10E-21	
94239	1.58E-06	6.674E-05		952441	4.37E-25	
94238	3.22E-13			952440	7.05E-26	
94237	2.04E-17			952430	1.55E-20	
94236	1.27E-18			952421	4.82E-21	
93239	2.70E-06			952420	1.80E-20	
93238	8.33E-13			952410	4.63E-17	
93237	6.46E-10			942450	1.06E-29	
93236	2.02E-18			942440	2.20E-24	
92239	3.46E-08			942430	6.38E-20	
92238	1.89E-02	79.839%		942420	8.54E-16	
92237	3.89E-09			942410	3.67E-12	
92236	5.28E-06			942400	4.64E-09	
92235	4.72E-03	1.99E-01		942390	2.18E-06	8.26E-07
92234	3.72E-10			942380	5.51E-15	
92233	1.87E-13			942370	3.32E-24	
91233	8.24E-19			942360	5.49E-21	
90233	1.44E-21			932390	4.30E-05	
90232	7.74E-16			932380	9.75E-14	
64158	1.58E-09			932370	3.04E-10	
64157	8.58E-10			932360	5.40E-20	
64156	3.17E-10			932350	8.09E-29	
64155	5.34E-12			922400	2.61E-10	
63156	3.40E-09			922390	3.96E-06	
63155	8.60E-09			922380	2.11E+00	79.903%
63154	4.98E-11			922370	1.71E-08	
63153	1.79E-08			922360	6.18E-05	
62154	1.95E-08			922350	5.30E-01	2.01E-01
62153	2.43E-08			922340	2.89E-09	
62152	7.12E-08			922330	1.47E-18	
62151	5.68E-08			922320	4.17E-19	
62150	3.35E-08			922310	1.62E-27	
62149	6.89E-08			922300	7.67E-30	
62147	5.92E-11			912341	7.89E-18	
61548	4.47E-11			912340	1.15E-18	
61149	1.61E-07			912330	4.59E-20	
61148	9.61E-11			912320	7.18E-18	
61147	5.92E-08			912310	4.01E-14	
60150	1.63E-07			902340	2.34E-13	
60148	4.26E-07			902330	1.63E-21	
60147	5.09E-07			902320	8.95E-16	
60146	8.66E-07			902300	4.00E-18	
60145	8.62E-07			902290	5.82E-26	
60144	6.67E-09			902280	1.01E-24	
60143	5.53E-08			902270	2.95E-27	
59143	7.12E-07			892270	3.16E-22	
59141	4.83E-08			882280	1.62E-29	
58143	7.07E-07			882260	1.32E-26	
58142	1.44E-06			882240	7.79E-29	
58141	1.30E-06			882230	4.40E-29	
57139	1.59E-06			862220	1.63E-33	
56140	1.41E-06			862200	1.37E-32	
56138	1.84E-06			842100	0.00E+00	
55137	1.53E-06			832100	0.00E+00	
55135	2.29E-07			832090	0.00E+00	
55134	9.42E-11			822100	1.42E-32	
55133	1.86E-07			822080	4.32E-32	
54136	2.78E-06			822070	1.46E-31	
54135	4.82E-08			822060	0.00E+00	
54134	1.87E-06			701720	0.00E+00	
54132	3.01E-07			701710	2.59E-35	
54131	9.09E-08			701700	3.64E-30	
53129	1.39E-07			701680	0.00E+00	
53127	6.68E-09			691710	2.58E-31	
49115	1.29E-09			691700	8.70E-27	
48114	5.88E-09			691690	8.91E-23	
48113	3.14E-09			681710	0.00E+00	
48111	1.04E-09			681700	5.27E-33	
48110	1.77E-11			681680	3.77E-15	
47109	8.95E-09			681671	2.81E-20	
46110	8.73E-09			681670	4.63E-12	
46108	2.41E-08			681660	2.29E-14	
46107	5.01E-08			671661	9.69E-15	
46106	1.49E-08			671660	2.66E-13	
46105	1.10E-07			671650	9.82E-12	
46104	4.20E-11			661660	7.55E-12	
45105	1.15E-07			661651	3.27E-14	
45103	2.40E-08			661650	6.15E-12	
44106	1.06E-07			661640	2.90E-11	
44105	2.32E-08			661630	6.78E-11	
44104	4.74E-07			661620	2.08E-10	
44103	7.67E-07			661610	8.00E-12	
44102	1.06E-06			661600	8.19E-16	
44101	1.26E-06			651650	2.68E-14	
43099	4.32E-07			651640	3.18E-13	
42100	1.58E-06			651630	4.87E-12	
42099	1.00E-06			651621	2.21E-12	
42098	1.47E-06			651620	5.63E-12	
42097	1.00E-06			651610	4.49E-10	
42095	8.07E-10			651600	3.56E-13	
40096	1.58E-06			651590	5.11E-10	
40095	1.57E-06			641650	4.98E-14	
40094	1.56E-06			641640	1.86E-12	
40093	1.30E-06			641630	3.60E-13	
40092	1.31E-06			641620	7.64E-12	
40091	2.26E-08			641610	5.52E-12	
39091	1.16E-06			641600	1.64E-09	
39089	2.91E-08			641590	3.21E-09	
38090	1.43E-06			641580	8.66E-09	
38089	1.16E-06			641570	3.60E-09	
38088	8.62E-07			641560	8.08E-10	
37087	6.29E-07			641550	6.35E-12	
37085	2.29E-07			641540	1.26E-15	
36086	5.04E-07			641530	3.62E-17	
36084	2.57E-07			641520	2.16E-14	
36083	1.23E-07			631650	8.37E-17	
35081	5.32E-08			631640	4.84E-16	
8016	3.55E-02			631630	1.93E-14	
6000	1.18E-02			631620	2.04E-12	
				631610	8.85E-13	
				631600	4.71E-12	
				631590	2.46E-10	
				631580	1.70E-09	
				631570	1.88E-08	
				631560	1.18E-08	
				631550	9.78E-08	
				631540	1.30E-11	
				631530	2.96E-08	
				631521	1.18E-13	
				631520	3.90E-13	
				631510	1.43E-10	
				621650	3.60E-19	
